ticker,date,closeadj
SPXT Index,2010-01-01T00:00:00Z,
SPXT Index,2010-01-02T00:00:00Z,
SPXT Index,2010-01-03T00:00:00Z,
SPXT Index,2010-01-04T00:00:00Z,1867.06
SPXT Index,2010-01-05T00:00:00Z,1872.9
SPXT Index,2010-01-06T00:00:00Z,1874.73
SPXT Index,2010-01-07T00:00:00Z,1882.34
SPXT Index,2010-01-08T00:00:00Z,1887.77
SPXT Index,2010-01-09T00:00:00Z,
SPXT Index,2010-01-10T00:00:00Z,
SPXT Index,2010-01-11T00:00:00Z,1891.06
SPXT Index,2010-01-12T00:00:00Z,1873.32
SPXT Index,2010-01-13T00:00:00Z,1889.1
SPXT Index,2010-01-14T00:00:00Z,1893.72
SPXT Index,2010-01-15T00:00:00Z,1873.3
SPXT Index,2010-01-16T00:00:00Z,
SPXT Index,2010-01-17T00:00:00Z,
SPXT Index,2010-01-18T00:00:00Z,
SPXT Index,2010-01-19T00:00:00Z,1896.72
SPXT Index,2010-01-20T00:00:00Z,1876.9
SPXT Index,2010-01-21T00:00:00Z,1841.39
SPXT Index,2010-01-22T00:00:00Z,1800.61
SPXT Index,2010-01-23T00:00:00Z,
SPXT Index,2010-01-24T00:00:00Z,
SPXT Index,2010-01-25T00:00:00Z,1808.93
SPXT Index,2010-01-26T00:00:00Z,1801.34
SPXT Index,2010-01-27T00:00:00Z,1810.21
SPXT Index,2010-01-28T00:00:00Z,1788.97
SPXT Index,2010-01-29T00:00:00Z,1771.4
SPXT Index,2010-01-30T00:00:00Z,
SPXT Index,2010-01-31T00:00:00Z,
SPXT Index,2010-02-01T00:00:00Z,1796.67
SPXT Index,2010-02-02T00:00:00Z,1819.99
SPXT Index,2010-02-03T00:00:00Z,1810.64
SPXT Index,2010-02-04T00:00:00Z,1754.3
SPXT Index,2010-02-05T00:00:00Z,1759.38
SPXT Index,2010-02-06T00:00:00Z,
SPXT Index,2010-02-07T00:00:00Z,
SPXT Index,2010-02-08T00:00:00Z,1744.37
SPXT Index,2010-02-09T00:00:00Z,1767.18
SPXT Index,2010-02-10T00:00:00Z,1763.69
SPXT Index,2010-02-11T00:00:00Z,1781.01
SPXT Index,2010-02-12T00:00:00Z,1776.5
SPXT Index,2010-02-13T00:00:00Z,
SPXT Index,2010-02-14T00:00:00Z,
SPXT Index,2010-02-15T00:00:00Z,
SPXT Index,2010-02-16T00:00:00Z,1808.72
SPXT Index,2010-02-17T00:00:00Z,1816.7
SPXT Index,2010-02-18T00:00:00Z,1828.81
SPXT Index,2010-02-19T00:00:00Z,1833.09
SPXT Index,2010-02-20T00:00:00Z,
SPXT Index,2010-02-21T00:00:00Z,
SPXT Index,2010-02-22T00:00:00Z,1831.21
SPXT Index,2010-02-23T00:00:00Z,1809.05
SPXT Index,2010-02-24T00:00:00Z,1826.99
SPXT Index,2010-02-25T00:00:00Z,1823.64
SPXT Index,2010-02-26T00:00:00Z,1826.27
SPXT Index,2010-02-27T00:00:00Z,
SPXT Index,2010-02-28T00:00:00Z,
SPXT Index,2010-03-01T00:00:00Z,1844.87
SPXT Index,2010-03-02T00:00:00Z,1849.17
SPXT Index,2010-03-03T00:00:00Z,1850.24
SPXT Index,2010-03-04T00:00:00Z,1857.2
SPXT Index,2010-03-05T00:00:00Z,1883.28
SPXT Index,2010-03-06T00:00:00Z,
SPXT Index,2010-03-07T00:00:00Z,
SPXT Index,2010-03-08T00:00:00Z,1883.29
SPXT Index,2010-03-09T00:00:00Z,1886.6
SPXT Index,2010-03-10T00:00:00Z,1895.38
SPXT Index,2010-03-11T00:00:00Z,1903.68
SPXT Index,2010-03-12T00:00:00Z,1903.29
SPXT Index,2010-03-13T00:00:00Z,
SPXT Index,2010-03-14T00:00:00Z,
SPXT Index,2010-03-15T00:00:00Z,1904.19
SPXT Index,2010-03-16T00:00:00Z,1919.02
SPXT Index,2010-03-17T00:00:00Z,1930.22
SPXT Index,2010-03-18T00:00:00Z,1929.63
SPXT Index,2010-03-19T00:00:00Z,1919.8
SPXT Index,2010-03-20T00:00:00Z,
SPXT Index,2010-03-21T00:00:00Z,
SPXT Index,2010-03-22T00:00:00Z,1929.64
SPXT Index,2010-03-23T00:00:00Z,1943.7
SPXT Index,2010-03-24T00:00:00Z,1933.04
SPXT Index,2010-03-25T00:00:00Z,1929.75
SPXT Index,2010-03-26T00:00:00Z,1931.18
SPXT Index,2010-03-27T00:00:00Z,
SPXT Index,2010-03-28T00:00:00Z,
SPXT Index,2010-03-29T00:00:00Z,1942.51
SPXT Index,2010-03-30T00:00:00Z,1942.81
SPXT Index,2010-03-31T00:00:00Z,1936.48
SPXT Index,2010-04-01T00:00:00Z,1950.91
SPXT Index,2010-04-02T00:00:00Z,
SPXT Index,2010-04-03T00:00:00Z,
SPXT Index,2010-04-04T00:00:00Z,
SPXT Index,2010-04-05T00:00:00Z,1966.44
SPXT Index,2010-04-06T00:00:00Z,1969.76
SPXT Index,2010-04-07T00:00:00Z,1959.04
SPXT Index,2010-04-08T00:00:00Z,1965.72
SPXT Index,2010-04-09T00:00:00Z,1978.86
SPXT Index,2010-04-10T00:00:00Z,
SPXT Index,2010-04-11T00:00:00Z,
SPXT Index,2010-04-12T00:00:00Z,1982.4
SPXT Index,2010-04-13T00:00:00Z,1983.91
SPXT Index,2010-04-14T00:00:00Z,2006.06
SPXT Index,2010-04-15T00:00:00Z,2007.74
SPXT Index,2010-04-16T00:00:00Z,1975.36
SPXT Index,2010-04-17T00:00:00Z,
SPXT Index,2010-04-18T00:00:00Z,
SPXT Index,2010-04-19T00:00:00Z,1984.32
SPXT Index,2010-04-20T00:00:00Z,2000.33
SPXT Index,2010-04-21T00:00:00Z,1998.31
SPXT Index,2010-04-22T00:00:00Z,2002.93
SPXT Index,2010-04-23T00:00:00Z,2017.19
SPXT Index,2010-04-24T00:00:00Z,
SPXT Index,2010-04-25T00:00:00Z,
SPXT Index,2010-04-26T00:00:00Z,2008.55
SPXT Index,2010-04-27T00:00:00Z,1961.6
SPXT Index,2010-04-28T00:00:00Z,1974.63
SPXT Index,2010-04-29T00:00:00Z,2000.34
SPXT Index,2010-04-30T00:00:00Z,1967.05
SPXT Index,2010-05-01T00:00:00Z,
SPXT Index,2010-05-02T00:00:00Z,
SPXT Index,2010-05-03T00:00:00Z,1992.87
SPXT Index,2010-05-04T00:00:00Z,1945.37
SPXT Index,2010-05-05T00:00:00Z,1933.25
